status,run_id,dataset,backbone,method,budget,seed,epochs,best_epoch,adapter_dim,dropout,n_classes,n_train,n_full_train,realized_train_fraction,n_val,n_test,total_params,trainable_params,val_accuracy,val_macro_f1,val_balanced_accuracy,test_accuracy,test_macro_f1,test_balanced_accuracy,runtime_sec,peak_gpu_mem_gb,stage,_path,width_ablation,shot_k,split_seed
complete,aqua20__scratch_cnn__scratch_cnn__b001__s43,aqua20,scratch_cnn,scratch_cnn,001,43,10,4,128,0.1,20,70,5842,0.011982197877439232,1164,1165,394036,394036,0.07731958762886598,0.03315455230702543,0.08774153843008196,0.07896995708154507,0.028285995093471218,0.0741986631591364,35.55928921699524,1.3870582580566406,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b001__s43/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b100__s43,fathomnet,scratch_cnn,scratch_cnn,100,43,10,10,128,0.1,79,16688,16688,1.0,3622,3389,409199,409199,0.2410270568746549,0.21239636784689211,0.2571743555864169,0.26172912363529066,0.22156806368821222,0.25442120800181683,461.88982582092285,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b100__s43/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b001__s42,aqua20,scratch_cnn,scratch_cnn,001,42,10,3,128,0.1,20,70,5842,0.011982197877439232,1164,1165,394036,394036,0.2422680412371134,0.04097578685745261,0.07167488675331272,0.23605150214592274,0.0327278710203166,0.050462795085113164,39.68615961074829,1.3870582580566406,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b001__s42/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b005__s42,aqua20,scratch_cnn,scratch_cnn,005,42,10,10,128,0.1,20,302,5842,0.05169462512838069,1164,1165,394036,394036,0.281786941580756,0.06775255651503906,0.08295299756233686,0.2995708154506438,0.08049090541569828,0.09819235144901932,23.699819803237915,2.5107860565185547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b005__s42/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b100__s43,aqua20,scratch_cnn,scratch_cnn,100,43,10,8,128,0.1,20,5842,5842,1.0,1164,1165,394036,394036,0.4733676975945017,0.13532959962496882,0.14389932622209572,0.47896995708154505,0.16056599318406672,0.16762142344607533,62.27482724189758,2.5107860565185547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b100__s43/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b001__s42,fathomnet,scratch_cnn,scratch_cnn,001,42,10,10,128,0.1,79,220,16688,0.013183125599232981,3622,3389,409199,409199,0.02871341800110436,0.01385567653095462,0.03396183037496874,0.036884036588964296,0.014870529107895245,0.03344026086613544,106.4000563621521,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b001__s42/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b001__s45,aqua20,scratch_cnn,scratch_cnn,001,45,10,4,128,0.1,20,70,5842,0.011982197877439232,1164,1165,394036,394036,0.09879725085910653,0.033703739474322744,0.06871395340111702,0.10987124463519313,0.04400169500338677,0.06639566496857323,34.22382926940918,1.3870582580566406,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b001__s45/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b005__s46,fathomnet,scratch_cnn,scratch_cnn,005,46,10,7,128,0.1,79,875,16688,0.05243288590604027,3622,3389,409199,409199,0.08393152954168967,0.05781366839142486,0.09552177062776775,0.1047506639126586,0.06995069162052353,0.10333884038945505,128.55258798599243,2.5135889053344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b005__s46/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b010__s45,fathomnet,scratch_cnn,scratch_cnn,010,45,10,9,128,0.1,79,1709,16688,0.10240891658676894,3622,3389,409199,409199,0.1311430149088901,0.08635873772759402,0.1410802855092666,0.13927412215992918,0.09693945429474414,0.13563531847892943,143.31772017478943,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b010__s45/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b100__s45,aqua20,scratch_cnn,scratch_cnn,100,45,10,10,128,0.1,20,5842,5842,1.0,1164,1165,394036,394036,0.4690721649484536,0.14144578103883018,0.1530016208949074,0.4858369098712446,0.15019736470773065,0.15668966634545295,61.38288855552673,2.5107860565185547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b100__s45/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b005__s46,aqua20,scratch_cnn,scratch_cnn,005,46,10,10,128,0.1,20,302,5842,0.05169462512838069,1164,1165,394036,394036,0.36082474226804123,0.06758378608682244,0.07406399768035174,0.35536480686695276,0.06916603459129898,0.07628239516859159,43.69993877410889,2.5113964080810547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b005__s46/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b005__s45,fathomnet,scratch_cnn,scratch_cnn,005,45,10,10,128,0.1,79,875,16688,0.05243288590604027,3622,3389,409199,409199,0.10988404196576478,0.06560912013787713,0.11357135093910148,0.10120979640011803,0.06847766658356945,0.10363870775008639,117.1232213973999,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b005__s45/result.json,,,
complete,aqua20__scratch_cnn__scratch_cnn__b005__s44,aqua20,scratch_cnn,scratch_cnn,005,44,10,10,128,0.1,20,302,5842,0.05169462512838069,1164,1165,394036,394036,0.30326460481099654,0.0686155162826683,0.08679751492513604,0.32274678111587984,0.0803389520693342,0.0957203701720876,39.35898208618164,2.5113964080810547,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/aqua20__scratch_cnn__scratch_cnn__b005__s44/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b100__s42,fathomnet,scratch_cnn,scratch_cnn,100,42,10,10,128,0.1,79,16688,16688,1.0,3622,3389,409199,409199,0.24047487575924903,0.2123412121407511,0.2541216016550794,0.25612275007376806,0.21832937722761694,0.24750249198219496,448.5136766433716,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b100__s42/result.json,,,
complete,fathomnet__scratch_cnn__scratch_cnn__b010__s42,fathomnet,scratch_cnn,scratch_cnn,010,42,10,10,128,0.1,79,1709,16688,0.10240891658676894,3622,3389,409199,409199,0.1206515737161789,0.08103840542288818,0.13134881159005982,0.14606078489229862,0.10199948525656977,0.140081252911716,139.81321263313293,2.5116357803344727,scratch,MARINE_EXPERIMENTS_V2/FULL_SUITE/scratch/fathomnet__scratch_cnn__scratch_cnn__b010__s42/result.json,,,
