dataset,backbone,method,budget,n,test_macro_f1_mean,test_macro_f1_sd,test_macro_f1_ci_low,test_macro_f1_ci_high,test_accuracy_mean,test_accuracy_sd,test_accuracy_ci_low,test_accuracy_ci_high,test_balanced_accuracy_mean,test_balanced_accuracy_sd,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high
aqua20,dinov2_small,marine_adapter,100,5,0.8342228546231677,0.01507618038072477,0.8253596986245023,0.8481338155600276,0.9052360515021458,0.0031304004341305477,0.902832618025751,0.9076394849785407,0.8213465981718284,0.020164792181422087,0.8077770018581025,0.839157921554037
aqua20,dinov2_small,mlp_head,100,5,0.8531138562436249,0.018304956970045336,0.8367625127059007,0.8646378447012809,0.9091845493562232,0.006406217392976932,0.9033476394849785,0.9126180257510729,0.8437413165972727,0.020150757977570793,0.8268273334654758,0.8566648357430818
aqua20,resnet18,full_finetune,001,5,0.07394929477322602,0.014145996838689332,0.06406260482867931,0.08536266718396275,0.3615450643776824,0.06405757324938484,0.3151931330472103,0.41442060085836907,0.09227325218393899,0.01317780195638006,0.08305840219057936,0.1031218303383222
aqua20,resnet18,last_block_ft,001,5,0.06744578144122772,0.01206922781605769,0.0584132631920519,0.07758927181899829,0.36017167381974247,0.06630477645258276,0.3069527896995708,0.41012875536480686,0.08455837077761941,0.007703616464574274,0.07854305396409514,0.09057368759114368
aqua20,resnet18,linear_probe,001,5,0.03372111668086943,0.010549855527285821,0.0244336638206153,0.03981966832407785,0.21201716738197424,0.08203152842291678,0.14180257510729616,0.26781115879828327,0.05174830294989404,0.014146550992911908,0.040846162215141105,0.06265044368464698
aqua20,resnet18,marine_adapter,001,5,0.05615296236802556,0.02014261259360087,0.04516301038412849,0.07449867890194294,0.34523605150214587,0.06186036878112139,0.30643776824034336,0.40154506437768245,0.06794454407426284,0.01639895945208082,0.05986490926771364,0.08272643458058054
aqua20,resnet18,mlp_head,001,5,0.05330824236450652,0.009807108750231674,0.0462771804548871,0.06172999963517504,0.39811158798283264,0.02724155743884174,0.3759656652360515,0.41974248927038627,0.07005629704610981,0.00842028589723438,0.06356685226284808,0.07671064039848206
aqua20,resnet18,full_finetune,005,5,0.10854897796054838,0.005427707030624209,0.10438746541421458,0.11260464082312707,0.5505579399141631,0.02298121961295315,0.5332188841201717,0.5678969957081546,0.12003862206493743,0.006305678805632336,0.11512551221243003,0.12495173191744484
aqua20,resnet18,last_block_ft,005,5,0.10414269928116862,0.007910273614267351,0.09815200219042897,0.11013339637190826,0.551244635193133,0.021212313384627143,0.5339055793991416,0.567038626609442,0.11790138206766174,0.007231493529708744,0.11225413001384565,0.1235486341214778
aqua20,resnet18,linear_probe,005,5,0.04504599777591316,0.008915659213680923,0.0384915914730893,0.05268165616642445,0.3349356223175966,0.04070425726987814,0.30042918454935624,0.3649785407725322,0.05987859731059085,0.007841246888748822,0.05403106055796181,0.06572613406321988
