dataset,backbone,budget,contrast,method_a,method_b,n_pairs,mean_a,mean_b,mean_delta,delta_ci_low,delta_ci_high,wins,ties,losses,cohen_dz,p_exact_signflip,p_holm
aqua20,dinov2_small,001,Adapter - MLP,marine_adapter,mlp_head,5,0.08015722393115768,0.12476773212372194,-0.04461050819256427,-0.06545013165160073,-0.02463546245418328,0,0,5,-1.6866562048410414,0.0625,1.0
aqua20,dinov2_small,005,Adapter - MLP,marine_adapter,mlp_head,5,0.14711521983492631,0.2292536532728172,-0.08213843343789087,-0.0950201418002665,-0.06925672507551525,0,0,5,-4.9532329750952,0.0625,1.0
aqua20,dinov2_small,010,Adapter - MLP,marine_adapter,mlp_head,5,0.24105687301854148,0.39357984824627457,-0.15252297522773306,-0.16109135406742964,-0.1434449054462988,0,0,5,-12.997843866339032,0.0625,1.0
aqua20,dinov2_small,100,Adapter - MLP,marine_adapter,mlp_head,5,0.8342228546231677,0.8531138562436249,-0.018891001620457114,-0.03925144516958932,0.001556433730061646,2,0,3,-0.6942692385045116,0.25,1.0
aqua20,resnet18,001,Adapter - MLP,marine_adapter,mlp_head,5,0.05615296236802556,0.05330824236450652,0.0028447200035190356,-0.007116439679644386,0.014902116455849889,3,0,2,0.2001643575404574,0.6875,1.0
aqua20,resnet18,005,Adapter - MLP,marine_adapter,mlp_head,5,0.07968410991640969,0.10289266521496061,-0.02320855529855094,-0.03310002490975557,-0.013317085687346316,0,0,5,-1.8324749986768247,0.0625,1.0
aqua20,resnet18,010,Adapter - MLP,marine_adapter,mlp_head,5,0.11621326080918074,0.18561429095784088,-0.06940103014866016,-0.09191205896415672,-0.050569905160555526,0,0,5,-2.639987966102659,0.0625,1.0
aqua20,resnet18,100,Adapter - MLP,marine_adapter,mlp_head,5,0.6445971555840485,0.6514180047005778,-0.006820849116529271,-0.01639732832552294,0.005811054957656059,1,0,4,-0.4699272130769838,0.375,1.0
fathomnet,dinov2_small,001,Adapter - MLP,marine_adapter,mlp_head,5,0.03142561225073293,0.06307915760745414,-0.0316535453567212,-0.04053641213577358,-0.022770678577668825,0,0,5,-2.7573733013519304,0.0625,1.0
fathomnet,dinov2_small,005,Adapter - MLP,marine_adapter,mlp_head,5,0.18892004286007516,0.2569333441169558,-0.06801330125688065,-0.0767510788346775,-0.05865610635486118,0,0,5,-5.720824836895289,0.0625,1.0
fathomnet,dinov2_small,010,Adapter - MLP,marine_adapter,mlp_head,5,0.34831704088835425,0.4009699178609979,-0.05265287697264366,-0.06416514463298537,-0.03870455315495762,0,0,5,-3.3222207689273335,0.0625,1.0
fathomnet,dinov2_small,100,Adapter - MLP,marine_adapter,mlp_head,5,0.666267923025951,0.6676952527726644,-0.0014273297467132684,-0.004072294480519267,0.0015804910783406845,1,0,4,-0.3955826287206083,0.4375,1.0
fathomnet,resnet18,001,Adapter - MLP,marine_adapter,mlp_head,5,0.028308392373529966,0.04005427295534828,-0.011745880581818316,-0.013942119876773306,-0.00923649575887949,0,0,5,-3.8762718503611104,0.0625,1.0
fathomnet,resnet18,005,Adapter - MLP,marine_adapter,mlp_head,5,0.1273525479768133,0.16028935488495685,-0.03293680690814356,-0.04283889404440422,-0.021447719934748234,0,0,5,-2.405907105228825,0.0625,1.0
fathomnet,resnet18,010,Adapter - MLP,marine_adapter,mlp_head,5,0.23285237312131324,0.2710129146664419,-0.03816054154512865,-0.048746364256032154,-0.029350091046506592,0,0,5,-3.0519354646163115,0.0625,1.0
fathomnet,resnet18,100,Adapter - MLP,marine_adapter,mlp_head,5,0.5172698207327762,0.5216135369615318,-0.0043437162287555346,-0.009046473325183425,-0.00047868145150451456,1,0,4,-0.7895601328650912,0.125,1.0
aqua20,dinov2_small,001,FullFT - Adapter,full_finetune,marine_adapter,5,0.19011096956377277,0.08015722393115768,0.1099537456326151,0.07486860673821343,0.1529340327612698,5,0,0,2.15001453398034,0.0625,1.0
aqua20,dinov2_small,005,FullFT - Adapter,full_finetune,marine_adapter,5,0.313754643854085,0.14711521983492631,0.16663942401915866,0.03899101633556701,0.26152366624959644,4,0,1,1.1239953384233765,0.125,1.0
aqua20,dinov2_small,010,FullFT - Adapter,full_finetune,marine_adapter,5,0.4080207133911597,0.24105687301854148,0.1669638403726182,0.02399318780447187,0.2510353583706931,4,0,1,1.048366564411293,0.125,1.0
aqua20,dinov2_small,100,FullFT - Adapter,full_finetune,marine_adapter,5,0.8361895252896808,0.8342228546231677,0.0019666706665130373,-0.02263950021159593,0.025786744760179746,3,0,2,0.06336340067518248,0.9375,1.0
aqua20,resnet18,001,FullFT - Adapter,full_finetune,marine_adapter,5,0.07394929477322602,0.05615296236802556,0.017796332405200465,-0.005265930211032938,0.03817400923634486,4,0,1,0.6464024992413019,0.1875,1.0
aqua20,resnet18,005,FullFT - Adapter,full_finetune,marine_adapter,5,0.10854897796054837,0.07968410991640969,0.0288648680441387,0.019079582669160648,0.03865015341911675,5,0,0,2.32042579893663,0.0625,1.0
aqua20,resnet18,010,FullFT - Adapter,full_finetune,marine_adapter,5,0.17220252000691966,0.11621326080918074,0.055989259197738936,0.03380830126486607,0.07985179397656994,5,0,0,1.8938871346867618,0.0625,1.0
aqua20,resnet18,100,FullFT - Adapter,full_finetune,marine_adapter,5,0.6433200371503304,0.6445971555840485,-0.0012771184337181385,-0.020394931180654254,0.013490858422774999,3,0,2,-0.05696037342642115,0.9375,1.0
fathomnet,dinov2_small,001,FullFT - Adapter,full_finetune,marine_adapter,5,0.12460411148775682,0.03142561225073293,0.0931784992370239,0.07616672837434244,0.11359202027425526,5,0,0,3.8058881536574547,0.0625,1.0
fathomnet,dinov2_small,005,FullFT - Adapter,full_finetune,marine_adapter,5,0.4117930090720587,0.18892004286007516,0.22287296621198358,0.18778862869851495,0.2579075049369851,5,0,0,4.953932626504855,0.0625,1.0
fathomnet,dinov2_small,010,FullFT - Adapter,full_finetune,marine_adapter,5,0.5730683546813867,0.34831704088835425,0.22475131379303245,0.1951752212483954,0.24231719590200046,5,0,0,6.9088081269054875,0.0625,1.0
fathomnet,dinov2_small,100,FullFT - Adapter,full_finetune,marine_adapter,5,0.8097715361276421,0.666267923025951,0.14350361310169119,0.13988845062729963,0.14613876302192647,5,0,0,35.52737155015717,0.0625,1.0
fathomnet,resnet18,001,FullFT - Adapter,full_finetune,marine_adapter,5,0.0314291485857603,0.028308392373529966,0.003120756212230328,0.0007636041127042657,0.005985045491629011,4,0,1,0.9543822713971748,0.125,1.0
fathomnet,resnet18,005,FullFT - Adapter,full_finetune,marine_adapter,5,0.15511664001615777,0.1273525479768133,0.027764092039344455,0.02356126580810356,0.03196839804582085,5,0,0,5.115901629530293,0.0625,1.0
fathomnet,resnet18,010,FullFT - Adapter,full_finetune,marine_adapter,5,0.27376407372641876,0.23285237312131324,0.040911700605105475,0.02952021033702455,0.052378739290527124,5,0,0,2.758991136690419,0.0625,1.0
fathomnet,resnet18,100,FullFT - Adapter,full_finetune,marine_adapter,5,0.6897319753352402,0.5172698207327762,0.17246215460246403,0.1701645808085667,0.17516807652622407,5,0,0,52.89738776765416,0.0625,1.0
aqua20,dinov2_small,001,FullFT - LastBlock,full_finetune,last_block_ft,5,0.19011096956377277,0.1465898709876642,0.0435210985761086,0.030630273548590957,0.05483615255650574,5,0,0,2.7262978865071608,0.0625,1.0
aqua20,dinov2_small,005,FullFT - LastBlock,full_finetune,last_block_ft,5,0.313754643854085,0.386168321108611,-0.07241367725452602,-0.17686668081548523,0.006468571745882568,1,0,4,-0.6040060184360206,0.3125,1.0
aqua20,dinov2_small,010,FullFT - LastBlock,full_finetune,last_block_ft,5,0.4080207133911597,0.5433413702439718,-0.1353206568528121,-0.2943626916273049,-0.04172476878771183,0,0,5,-0.7646242154606621,0.0625,1.0
aqua20,dinov2_small,100,FullFT - LastBlock,full_finetune,last_block_ft,5,0.8361895252896808,0.8766222240100727,-0.0404326987203919,-0.05269956875988442,-0.02755371018296924,0,0,5,-2.450650912772622,0.0625,1.0
aqua20,resnet18,001,FullFT - LastBlock,full_finetune,last_block_ft,5,0.07394929477322602,0.06744578144122773,0.006503513331998301,0.004526140927229597,0.009247709713534441,5,0,0,2.066015445329726,0.0625,1.0
aqua20,resnet18,005,FullFT - LastBlock,full_finetune,last_block_ft,5,0.10854897796054837,0.10414269928116862,0.004406278679379758,0.0012361837719330332,0.00788006734165585,4,0,1,1.0349872993769533,0.125,1.0
aqua20,resnet18,010,FullFT - LastBlock,full_finetune,last_block_ft,5,0.17220252000691966,0.15000859344988116,0.02219392655703853,0.013436050761994145,0.029189090792100296,5,0,0,2.2235602009296804,0.0625,1.0
aqua20,resnet18,100,FullFT - LastBlock,full_finetune,last_block_ft,5,0.6433200371503304,0.6260672102990676,0.017252826851262792,0.00831577439143918,0.02704073181091038,5,0,0,1.4390076580196325,0.0625,1.0
fathomnet,dinov2_small,001,FullFT - LastBlock,full_finetune,last_block_ft,5,0.12460411148775682,0.06256677259680304,0.06203733889095379,0.048304719406120175,0.07324767806038499,5,0,0,3.768787299107998,0.0625,1.0
fathomnet,dinov2_small,005,FullFT - LastBlock,full_finetune,last_block_ft,5,0.4117930090720587,0.30704006732669686,0.10475294174536187,0.07953294530108529,0.13390400013422712,5,0,0,2.962282407097689,0.0625,1.0
fathomnet,dinov2_small,010,FullFT - LastBlock,full_finetune,last_block_ft,5,0.5730683546813867,0.46695614232588245,0.10611221235550425,0.08889925725141262,0.12012149185798433,5,0,0,5.166313052309431,0.0625,1.0
fathomnet,dinov2_small,100,FullFT - LastBlock,full_finetune,last_block_ft,5,0.8097715361276421,0.7292882453641523,0.08048329076348984,0.0763831111995887,0.08467685354790147,5,0,0,14.84870634159286,0.0625,1.0
fathomnet,resnet18,001,FullFT - LastBlock,full_finetune,last_block_ft,5,0.0314291485857603,0.035731413096280425,-0.004302264510520131,-0.00776144645700898,-0.0007466839860715703,1,0,4,-0.9726238223570506,0.125,1.0
