dataset,backbone,method,budget,n,f1_mean,f1_sd,acc_mean,balacc_mean
aqua20,resnet18,marine_adapter,001,5,0.05615296236802556,0.020142612593600867,0.3452360515021459,0.06794454407426284
aqua20,resnet18,mlp_head,001,5,0.05330824236450652,0.009807108750231674,0.39811158798283264,0.07005629704610981
aqua20,resnet18,full_finetune,005,5,0.10854897796054837,0.005427707030624212,0.5505579399141631,0.12003862206493743
aqua20,resnet18,last_block_ft,005,5,0.10414269928116862,0.007910273614267355,0.551244635193133,0.11790138206766174
aqua20,resnet18,linear_probe,005,5,0.04504599777591316,0.008915659213680923,0.33493562231759655,0.05987859731059084
aqua20,resnet18,marine_adapter,005,5,0.07968410991640967,0.010288594717572763,0.48377682403433475,0.0940436342090289
aqua20,resnet18,mlp_head,005,5,0.10289266521496061,0.005195388591602681,0.5565665236051502,0.11531603688942309
aqua20,resnet18,full_finetune,010,5,0.17220252000691966,0.017514743838434137,0.6219742489270386,0.1663953624885265
aqua20,resnet18,last_block_ft,010,5,0.15000859344988116,0.00861363023959439,0.6130472103004292,0.15151155131341978
aqua20,resnet18,linear_probe,010,5,0.05438520351015297,0.00877260549321502,0.37493562231759653,0.06632031572888959
aqua20,resnet18,marine_adapter,010,5,0.11621326080918074,0.01796169809222525,0.567038626609442,0.12478227248410811
aqua20,resnet18,mlp_head,010,5,0.18561429095784088,0.023784941028039828,0.6317596566523604,0.1791942794969029
aqua20,resnet18,full_finetune,100,5,0.6433200371503304,0.014740580350567122,0.8460085836909871,0.6240995891680953
aqua20,resnet18,last_block_ft,100,5,0.6260672102990675,0.008937742143146465,0.8374248927038627,0.6021525085794435
aqua20,resnet18,linear_probe,100,5,0.42529994096354046,0.01780326703606805,0.7416309012875536,0.3809979410367864
aqua20,resnet18,marine_adapter,100,5,0.6445971555840485,0.014638291816800379,0.8108154506437769,0.6225368976658834
aqua20,resnet18,mlp_head,100,5,0.6514180047005778,0.015702181968147003,0.8175107296137339,0.6394504566929513
fathomnet,dinov2_small,full_finetune,001,4,0.11449358913626953,0.008607661441300861,0.12629094128061374,0.13429749007634534
fathomnet,dinov2_small,last_block_ft,001,5,0.06256677259680304,0.014858868478219236,0.0695190321628799,0.07500797473168104
fathomnet,dinov2_small,linear_probe,001,5,0.02473095736859604,0.005324364313171321,0.027264679846562407,0.02851468908025532
fathomnet,dinov2_small,marine_adapter,001,5,0.03142561225073293,0.006564355562294929,0.039952788433166124,0.041966171662689435
fathomnet,dinov2_small,mlp_head,001,5,0.06307915760745413,0.010620780212229846,0.0753024491000295,0.07877213243963088
fathomnet,dinov2_small,full_finetune,005,4,0.41151721598570135,0.04230547038579033,0.4221746827972853,0.42700642131697675
fathomnet,dinov2_small,last_block_ft,005,5,0.30704006732669686,0.021110089105464143,0.31513720861611094,0.3244487333274902
fathomnet,dinov2_small,linear_probe,005,5,0.12890501423616124,0.01190271217019653,0.14228385954558867,0.1468675522312069
fathomnet,dinov2_small,marine_adapter,005,5,0.18892004286007516,0.019658944664934282,0.20236057834169374,0.21479885715749472
fathomnet,dinov2_small,mlp_head,005,5,0.2569333441169558,0.017137442411587777,0.2854529359693125,0.2956242737091975
fathomnet,dinov2_small,full_finetune,010,3,0.573537654696767,0.003876548706012648,0.5853250713091375,0.5865325388872848
fathomnet,dinov2_small,last_block_ft,010,5,0.46695614232588245,0.009826119832439155,0.474358217763352,0.4813944777911054
fathomnet,dinov2_small,linear_probe,010,5,0.28242490118972297,0.012033816860002475,0.29666568309235763,0.3026210694621937
fathomnet,dinov2_small,marine_adapter,010,5,0.34831704088835425,0.020686683459076993,0.3670699321333727,0.3794170471771977
fathomnet,dinov2_small,mlp_head,010,5,0.4009699178609979,0.012840767372356768,0.42177633520212454,0.431998202764995
fathomnet,dinov2_small,full_finetune,100,4,0.8098374319611858,0.005308083675116255,0.8219238713484804,0.8182082610101379
fathomnet,dinov2_small,last_block_ft,100,5,0.7292882453641524,0.005685115504162572,0.7393921510770138,0.739661943284551
fathomnet,dinov2_small,linear_probe,100,5,0.6384763868930133,0.004112682335098887,0.6485098849218058,0.65134781440614
fathomnet,dinov2_small,marine_adapter,100,5,0.666267923025951,0.002149068001348082,0.6770138683977575,0.6787283122055223
fathomnet,dinov2_small,mlp_head,100,5,0.6676952527726643,0.0038157194531823584,0.6786072587784007,0.6802112627566845
fathomnet,resnet18,full_finetune,001,5,0.0314291485857603,0.004861849024329592,0.035762761876659784,0.03967610530881576
fathomnet,resnet18,last_block_ft,001,5,0.03573141309628043,0.00693832268709473,0.0414281498967247,0.04665732715776326
fathomnet,resnet18,linear_probe,001,5,0.011923123550473235,0.002764966568975149,0.020832103865447035,0.021510274134354627
fathomnet,resnet18,marine_adapter,001,5,0.028308392373529966,0.0027195406337153947,0.033402183534966066,0.03626623026126098
fathomnet,resnet18,mlp_head,001,5,0.04005427295534829,0.0042913584984319054,0.05063440542933019,0.05477869429891622
fathomnet,resnet18,full_finetune,005,5,0.15511664001615774,0.010579050721622438,0.1792269105930953,0.1870635141811819
fathomnet,resnet18,last_block_ft,005,5,0.17779946629975954,0.00936705237952261,0.1940985541457657,0.21077055485872648
fathomnet,resnet18,linear_probe,005,5,0.05875646332611698,0.009261277044267444,0.0715845382118619,0.07922523090262537
fathomnet,resnet18,marine_adapter,005,5,0.1273525479768133,0.009441631152838383,0.14488049572145176,0.15437733033411252
fathomnet,resnet18,mlp_head,005,5,0.16028935488495685,0.004504767655297205,0.18672174682797285,0.1935383475361435
fathomnet,resnet18,full_finetune,010,5,0.27376407372641876,0.01274059870309887,0.2980230156388315,0.3044640079011387
fathomnet,resnet18,last_block_ft,010,5,0.3030573387091303,0.0072496372502009855,0.3203304809678371,0.3337458673664182
fathomnet,resnet18,linear_probe,010,5,0.14793905246603523,0.007111638585278157,0.1665388020064916,0.17669398999643846
fathomnet,resnet18,marine_adapter,010,5,0.23285237312131324,0.010623903735836502,0.2541162584833284,0.2613594669795521
fathomnet,resnet18,mlp_head,010,5,0.2710129146664419,0.007712447860690852,0.29483623487754496,0.2994034585191574
fathomnet,resnet18,full_finetune,100,5,0.6897319753352402,0.0026294913621733914,0.7012688108586603,0.7010645502091725
fathomnet,resnet18,last_block_ft,100,5,0.643316751737995,0.005335462856518209,0.6524048391856005,0.654781914260093
fathomnet,resnet18,linear_probe,100,5,0.4179657766093305,0.0022228574770542728,0.42696960755385066,0.4311028662540643
fathomnet,resnet18,marine_adapter,100,5,0.5172698207327762,0.003068352654769182,0.5270581292416642,0.5296481958108148
fathomnet,resnet18,mlp_head,100,5,0.5216135369615317,0.002713276619182919,0.5316022425494247,0.5343584749393426
